,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Regular Season Stats,Team,W,L,PCT,GB,STRK
0,Sat 11/19,@NO,W117-109,39.0,6-18,33.3,2-10,20.0,5-6,83.3,7.0,10.0,0.0,0.0,1.0,3.0,19.0,,,,,,,
1,Thu 11/17,@ATL,W126-101,33.0,6-19,31.6,3-10,30.0,4-4,100.0,7.0,8.0,1.0,1.0,1.0,2.0,19.0,,,,,,,
2,Tue 11/15,vsOKC,W126-122,38.0,9-23,39.1,1-9,11.1,8-10,80.0,10.0,1.0,3.0,3.0,2.0,1.0,27.0,,,,,,,
3,Sun 11/13,@DET,W117-108,41.0,14-28,50.0,7-14,50.0,8-10,80.0,10.0,3.0,1.0,1.0,2.0,3.0,43.0,,,,,,,
4,Sat 11/12,vsDEN,W131-112,37.0,11-21,52.4,2-7,28.6,10-11,90.9,8.0,5.0,0.0,0.0,4.0,1.0,34.0,,,,,,,
5,Thu 11/10,vsDET,W128-112,32.0,10-20,50.0,5-11,45.5,6-7,85.7,1.0,5.0,1.0,1.0,4.0,1.0,31.0,,,,,,,
6,Tue 11/8,@MEM,W109-106,40.0,12-25,48.0,3-11,27.3,12-16,75.0,3.0,2.0,2.0,0.0,2.0,2.0,39.0,,,,,,,
7,Sat 11/5,@NY,W133-118,37.0,8-17,47.1,6-13,46.2,4-4,100.0,4.0,5.0,2.0,1.0,3.0,3.0,26.0,,,,,,,
8,Fri 11/4,vsCHI,W123-119,40.0,8-23,34.8,3-10,30.0,17-20,85.0,12.0,6.0,1.0,1.0,4.0,1.0,36.0,,,,,,,
9,Wed 11/2,@CLE,L114-113 OT,43.0,8-21,38.1,2-9,22.2,8-8,100.0,12.0,6.0,4.0,1.0,0.0,6.0,26.0,,,,,,,
0,Sun 10/30,vsWSH,W112-94,27.0,8-15,53.3,5-10,50.0,2-2,100.0,4.0,3.0,0.0,1.0,0.0,4.0,23.0,,,,,,,
1,Sat 10/29,vsCLE,L132-123 OT,42.0,11-19,57.9,3-7,42.9,7-8,87.5,7.0,4.0,1.0,1.0,4.0,4.0,32.0,,,,,,,
2,Tue 10/25,@CHI,L120-102,35.0,8-18,44.4,4-8,50.0,6-6,100.0,8.0,5.0,0.0,0.0,2.0,1.0,26.0,,,,,,,
3,Sun 10/23,@ORL,W126-120,38.0,14-21,66.7,4-10,40.0,8-9,88.9,8.0,1.0,2.0,1.0,2.0,1.0,40.0,,,,,,,
4,Sat 10/22,@MIA,W111-104,37.0,10-22,45.5,2-7,28.6,7-7,100.0,5.0,4.0,2.0,1.0,1.0,2.0,29.0,,,,,,,
5,Wed 10/19,vsPHI,W126-117,39.0,13-20,65.0,2-7,28.6,7-9,77.8,12.0,4.0,1.0,1.0,1.0,3.0,35.0,,,,,,,
6,october,october,october,36.3,10.7-19.2,55.7,3.3-8.2,40.8,6.2-6.8,90.2,7.3,3.5,1.0,0.8,1.7,2.5,30.8,,,,,,,
0,,,,37.3,9.8-20.6,47.3,3.4-9.6,35.3,7.4-8.6,86.9,7.4,4.5,1.3,0.9,2.1,2.4,30.3,Averages,,,,,,
1,,,,597.0,156-330,47.3,54-153,35.3,119-137,86.9,118.0,72.0,21.0,14.0,33.0,38.0,485.0,Totals,,,,,,
0,Sat 10/15,vsTOR,L137-134 OT,29,6-15,40.0,3-10,30.0,6-6,100.0,9,6,0,0,4,3,21,,,,,,,
1,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,,,,,,,
2,Thu 10/6,vsTOR,L125-119 OT,29,6-16,37.5,0-7,0.0,6-7,85.7,10,4,0,0,1,1,18,,,,,,,
3,Sun 10/2,vsCHA,W134-93,22,4-11,36.4,2-8,25.0,6-6,100.0,6,3,0,2,1,5,16,,,,,,,
0,,,,,,,,,,,,,,,,,,,Boston,13.0,3.0,0.813,-,W9
1,,,,,,,,,,,,,,,,,,,Toronto,9.0,8.0,0.529,4.5,L1
2,,,,,,,,,,,,,,,,,,,Philadelphia,8.0,8.0,0.5,5,L1
3,,,,,,,,,,,,,,,,,,,Brooklyn,8.0,9.0,0.471,5.5,W2
4,,,,,,,,,,,,,,,,,,,New York,8.0,9.0,0.471,5.5,L2
0,Sat 11/19,@NO,W117-109,39.0,6-18,33.3,2-10,20.0,5-6,83.3,7.0,10.0,0.0,0.0,1.0,3.0,19.0,,,,,,,
1,Thu 11/17,@ATL,W126-101,33.0,6-19,31.6,3-10,30.0,4-4,100.0,7.0,8.0,1.0,1.0,1.0,2.0,19.0,,,,,,,
2,Tue 11/15,vsOKC,W126-122,38.0,9-23,39.1,1-9,11.1,8-10,80.0,10.0,1.0,3.0,3.0,2.0,1.0,27.0,,,,,,,
3,Sun 11/13,@DET,W117-108,41.0,14-28,50.0,7-14,50.0,8-10,80.0,10.0,3.0,1.0,1.0,2.0,3.0,43.0,,,,,,,
4,Sat 11/12,vsDEN,W131-112,37.0,11-21,52.4,2-7,28.6,10-11,90.9,8.0,5.0,0.0,0.0,4.0,1.0,34.0,,,,,,,
5,Thu 11/10,vsDET,W128-112,32.0,10-20,50.0,5-11,45.5,6-7,85.7,1.0,5.0,1.0,1.0,4.0,1.0,31.0,,,,,,,
6,Tue 11/8,@MEM,W109-106,40.0,12-25,48.0,3-11,27.3,12-16,75.0,3.0,2.0,2.0,0.0,2.0,2.0,39.0,,,,,,,
7,Sat 11/5,@NY,W133-118,37.0,8-17,47.1,6-13,46.2,4-4,100.0,4.0,5.0,2.0,1.0,3.0,3.0,26.0,,,,,,,
8,Fri 11/4,vsCHI,W123-119,40.0,8-23,34.8,3-10,30.0,17-20,85.0,12.0,6.0,1.0,1.0,4.0,1.0,36.0,,,,,,,
9,Wed 11/2,@CLE,L114-113 OT,43.0,8-21,38.1,2-9,22.2,8-8,100.0,12.0,6.0,4.0,1.0,0.0,6.0,26.0,,,,,,,
0,Sun 10/30,vsWSH,W112-94,27.0,8-15,53.3,5-10,50.0,2-2,100.0,4.0,3.0,0.0,1.0,0.0,4.0,23.0,,,,,,,
1,Sat 10/29,vsCLE,L132-123 OT,42.0,11-19,57.9,3-7,42.9,7-8,87.5,7.0,4.0,1.0,1.0,4.0,4.0,32.0,,,,,,,
2,Tue 10/25,@CHI,L120-102,35.0,8-18,44.4,4-8,50.0,6-6,100.0,8.0,5.0,0.0,0.0,2.0,1.0,26.0,,,,,,,
3,Sun 10/23,@ORL,W126-120,38.0,14-21,66.7,4-10,40.0,8-9,88.9,8.0,1.0,2.0,1.0,2.0,1.0,40.0,,,,,,,
4,Sat 10/22,@MIA,W111-104,37.0,10-22,45.5,2-7,28.6,7-7,100.0,5.0,4.0,2.0,1.0,1.0,2.0,29.0,,,,,,,
5,Wed 10/19,vsPHI,W126-117,39.0,13-20,65.0,2-7,28.6,7-9,77.8,12.0,4.0,1.0,1.0,1.0,3.0,35.0,,,,,,,
0,,,,37.3,9.8-20.6,47.3,3.4-9.6,35.3,7.4-8.6,86.9,7.4,4.5,1.3,0.9,2.1,2.4,30.3,Averages,,,,,,
1,,,,597.0,156-330,47.3,54-153,35.3,119-137,86.9,118.0,72.0,21.0,14.0,33.0,38.0,485.0,Totals,,,,,,
0,Sat 10/15,vsTOR,L137-134 OT,29,6-15,40.0,3-10,30.0,6-6,100.0,9,6,0,0,4,3,21,,,,,,,
1,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,NBA Canada Series,,,,,,,
2,Thu 10/6,vsTOR,L125-119 OT,29,6-16,37.5,0-7,0.0,6-7,85.7,10,4,0,0,1,1,18,,,,,,,
3,Sun 10/2,vsCHA,W134-93,22,4-11,36.4,2-8,25.0,6-6,100.0,6,3,0,2,1,5,16,,,,,,,
0,,,,,,,,,,,,,,,,,,,Boston,13.0,3.0,0.813,-,W9
1,,,,,,,,,,,,,,,,,,,Toronto,9.0,8.0,0.529,4.5,L1
2,,,,,,,,,,,,,,,,,,,Philadelphia,8.0,8.0,0.5,5,L1
3,,,,,,,,,,,,,,,,,,,Brooklyn,8.0,9.0,0.471,5.5,W2
4,,,,,,,,,,,,,,,,,,,New York,8.0,9.0,0.471,5.5,L2
